index,date,open,high,low,close,volume,returns,log_returns,volatility,ma_20,ma_50,rsi,sentiment_score,regime
57,2024-11-19,90464.07,93905.51,90357.0,92310.79,43660.04682,0.020413737695668788,0.02020817024435305,0.034209419727344634,80434.927,71447.9572,84.98672447053453,1,Bull
58,2024-11-20,92310.8,94831.97,91500.0,94286.56,42203.198712,0.02140345673566446,0.021177619537080205,0.032857634769118356,81634.65449999999,72117.57280000001,82.7660007332469,1,Bull
59,2024-11-21,94286.56,98988.0,94040.0,98317.12,69228.360477,0.04274798019993509,0.04185951709945262,0.03279104919323091,83075.71,72870.9296,84.76384386753125,1,Bull
60,2024-11-22,98317.12,99588.01,97122.11,98892.0,46189.309243,0.0058472013826280644,0.005830172847894076,0.0326020812389692,84551.573,73633.7154,84.72743375134517,1,Bull
61,2024-11-23,98892.0,98908.85,97136.0,97672.4,24757.84367,-0.012332645714516866,-0.012409323871574746,0.03277177949931185,85996.39349999999,74345.4434,81.54526724980373,-1,Bull
62,2024-11-24,97672.4,98564.0,95734.77,97900.04,31200.97838,0.002330648166728677,0.002327936418892903,0.03216547801067208,87498.89499999999,75062.2842,79.40040056929003,1,Bull
63,2024-11-25,97900.05,98871.8,92600.19,93010.01,50847.45096,-0.04994921350389636,-0.051239836346874276,0.03569877375109125,88680.79500000001,75666.0862,58.25370431060122,-1,Bull
64,2024-11-26,93010.01,94973.37,90791.1,91965.16,57858.73138,-0.011233737099909935,-0.011297312096130885,0.03194187168028622,89500.45349999999,76260.9094,57.49463368428995,-1,Bull
65,2024-11-27,91965.16,97208.21,91792.14,95863.11,41153.42734,0.04238507278190995,0.04151142667791282,0.03267244549852176,90500.7145,76934.96179999999,59.71371677891551,1,Bull
66,2024-11-28,95863.11,96564.0,94640.0,95643.98,28814.54357,-0.002285863665387078,-0.002288480239917697,0.0328170902994016,91457.4245,77635.121,66.36333557192468,-1,Bull
67,2024-11-29,95643.99,98619.99,95364.99,97460.0,27701.78231,0.018987290156683212,0.01880928130380514,0.03278837130504659,92496.5515,78377.7932,63.66057148054749,1,Bull
68,2024-11-30,97460.0,97463.95,96092.01,96407.99,14503.83306,-0.010794274574184248,-0.010852955416106586,0.032079583047006664,93298.4505,79055.15299999999,62.05980980493634,-1,Bull
69,2024-12-01,96407.99,97836.0,95693.88,97185.18,16938.60452,0.008061468764155144,0.008029148706736931,0.02432195955719588,93725.31,79734.7322,65.15521022579001,1,Bull
70,2024-12-02,97185.17,98130.0,94395.0,95840.62,37958.66981,-0.01383503122595442,-0.013931627244584067,0.024522120436577657,94119.7405,80394.1442,60.788942444686136,-1,Bull
71,2024-12-03,95840.61,96305.52,93578.17,95849.69,35827.32283,9.463628261174861e-05,9.463180488125695e-05,0.023932634658939515,94393.465,80989.45820000001,57.666840271308544,1,Bull
72,2024-12-04,95849.69,99000.0,94587.83,98587.32,43850.53728,0.028561699051921963,0.028161417666881416,0.022866525130697337,94956.5515,81619.7218,59.01962659472376,1,Bull
73,2024-12-05,98587.32,104088.0,90500.0,96945.63,109921.729662,-0.016652141472148774,-0.01679234704122157,0.02179612572701713,95252.22949999999,82206.2342,46.80338892190798,-1,Bull
74,2024-12-06,96945.63,101898.99,95981.72,99740.84,45049.5331,0.028832759145512643,0.028424916087496886,0.02241358599940254,95709.9255,82852.6154,51.79287597718541,1,Bull
75,2024-12-07,99740.84,100439.18,98844.0,99831.99,14931.9459,0.0009138683812970338,0.0009134510578209996,0.022230089032067434,96208.7255,83480.6952,54.78969470101532,1,Bull
76,2024-12-08,99831.99,101351.0,98657.7,101109.59,14612.99688,0.012797501081567075,0.012716305068205409,0.022291043413009755,96741.00099999999,84135.32699999999,56.8015973491667,1,Bull
77,2024-12-09,101109.6,101215.93,94150.05,97276.47,53949.11595,-0.0379105483466009,-0.03864784755258232,0.02406984549027861,96989.285,84700.2166,59.46538120563445,-1,Bull
78,2024-12-10,97276.48,98270.0,94256.54,96593.0,51708.68933,-0.007026056763778543,-0.007050855728157901,0.02374987935560769,97104.607,85284.5266,60.4344375400211,-1,Bull
79,2024-12-11,96593.0,101888.0,95658.24,101125.0,37753.78291,0.04691851376393741,0.04585110055392514,0.02412330116745739,97245.001,85958.50660000001,61.53424945801923,1,Bull
80,2024-12-12,101125.0,102540.0,99311.64,100004.29,29232.08745,-0.011082422744128628,-0.011144290310743151,0.02425775614544658,97300.61549999999,86625.21940000002,59.19453191983781,-1,Bull
81,2024-12-13,100004.29,101895.26,99205.0,101424.25,21904.03923,0.014198990863292016,0.014099129370686553,0.024236060716497396,97488.208,87289.7388,58.50136626611544,1,Bull
82,2024-12-14,101424.24,102650.0,100609.41,101420.0,14191.70326,-4.19031937628489e-05,-4.190407172619906e-05,0.024239572351884148,97664.20599999999,87984.1722,61.25403669275686,-1,Bull
83,2024-12-15,101420.0,105250.0,101237.14,104463.99,22228.921775,0.030013705383553635,0.02957210835064263,0.02152181983664851,98236.905,88731.5968,64.83388025226611,1,Bull
84,2024-12-16,104463.99,107793.07,103333.0,106058.66,41302.40274,0.01526526030644626,0.015149918553743596,0.021226049196286356,98941.58,89492.336,70.61375406907214,1,Bull
85,2024-12-17,106058.65,108353.0,105321.49,106133.74,29064.936466,0.0007079101319968917,0.0007076596818099129,0.01964983382264983,99455.1115,90215.7666,70.69181220682215,1,Bull
86,2024-12-18,106133.74,106524.98,100000.0,100204.01,50307.99755,-0.0558703575319216,-0.057491789143001994,0.024111314513037944,99683.113,90765.11839999999,52.88255773442075,-1,Bull
87,2024-12-19,100204.01,102800.11,95700.0,97461.86,55147.398,-0.027365671293993032,-0.02774708582409932,0.024677210442009562,99683.20599999999,91267.4608,50.88568164872015,-1,Bull
88,2024-12-20,97461.86,98233.0,92232.54,97805.44,62884.1357,0.0035252764517319513,0.003519077229743537,0.024553455815879234,99753.0785,91817.7294,46.374495812518326,1,Bull
89,2024-12-21,97805.44,99540.61,96398.39,97291.99,23483.54143,-0.005249707991702657,-0.005263536125710258,0.024525072161692092,99758.41900000001,92373.649,45.31603141725825,-1,Bull
90,2024-12-22,97292.0,97448.08,94250.35,95186.27,19353.83036,-0.02164330280426996,-0.02188095438284901,0.024826242103816152,99725.7015,92889.87960000001,39.40064161752897,-1,Bull
91,2024-12-23,95186.28,96538.92,92520.0,94881.47,32810.76703,-0.003202142493870186,-0.0032072803231183965,0.02483415951594902,99677.2905,93411.9892,45.09493904207335,-1,Bull
92,2024-12-24,94881.47,99487.99,93569.02,98663.58,23674.22488,0.03986141867321402,0.039087452998785556,0.025606189337736094,99681.1035,94028.26060000001,53.763021495918174,1,Bull
93,2024-12-25,98663.58,99569.15,97632.02,99429.6,14474.1651,0.0077639591022340415,0.007733974670366026,0.025343658703221958,99805.302,94629.4124,46.43016867526707,1,Bull
94,2024-12-26,99429.61,99963.7,95199.14,95791.6,21192.36727,-0.03658870195595676,-0.03727485759295436,0.02589000346174509,99607.84,95033.8046,41.97995622062705,-1,Bull
